Instance_ID,Method,Time,Size
8742,Direct,0.0009982585906982422,91
8742,Majoritary (Greedy),0.020036935806274414,18
8742,Majoritary (Z3),35.043970584869385,17
8742,Sufficient (Z3),34.184030055999756,6
8742,Sufficient (Greedy),5.5920021533966064,20
26687,Direct,0.0009980201721191406,88
26687,Majoritary (Greedy),0.019998550415039062,19
26687,Majoritary (Z3),37.1590142250061,12
26687,Sufficient (Z3),35.005006313323975,5
26687,Sufficient (Greedy),4.436981678009033,17
27080,Direct,0.0010647773742675781,97
27080,Majoritary (Greedy),0.01794600486755371,18
27080,Majoritary (Z3),31.52903413772583,18
27080,Sufficient (Z3),32.35896849632263,7
27080,Sufficient (Greedy),5.242998123168945,20
22380,Direct,0.001033782958984375,91
22380,Majoritary (Greedy),0.020969867706298828,17
22380,Majoritary (Z3),32.79899477958679,12
22380,Sufficient (Z3),33.44939851760864,6
22380,Sufficient (Greedy),4.414969444274902,18
24827,Direct,0.0010120868682861328,91
24827,Majoritary (Greedy),0.01797342300415039,18
24827,Majoritary (Z3),33.68905735015869,13
24827,Sufficient (Z3),35.075255393981934,5
24827,Sufficient (Greedy),5.491983890533447,20
18219,Direct,0.0009622573852539062,90
18219,Majoritary (Greedy),0.02100062370300293,18
18219,Majoritary (Z3),34.171273708343506,13
18219,Sufficient (Z3),35.38000202178955,6
18219,Sufficient (Greedy),5.5750017166137695,20
23112,Direct,0.0019979476928710938,89
23112,Majoritary (Greedy),0.02499842643737793,18
23112,Majoritary (Z3),35.27600169181824,13
23112,Sufficient (Z3),35.23499774932861,6
23112,Sufficient (Greedy),4.5410051345825195,20
22871,Direct,0.0010330677032470703,94
22871,Majoritary (Greedy),0.02096271514892578,18
22871,Majoritary (Z3),38.03100061416626,13
22871,Sufficient (Z3),35.9780638217926,6
22871,Sufficient (Greedy),5.780974864959717,20
4435,Direct,0.000997781753540039,89
4435,Majoritary (Greedy),0.017963647842407227,17
4435,Majoritary (Z3),37.33505845069885,13
4435,Sufficient (Z3),35.56694316864014,7
4435,Sufficient (Greedy),5.39999794960022,20
36525,Direct,0.001001596450805664,60
36525,Majoritary (Greedy),0.018998146057128906,18
36525,Majoritary (Z3),33.236000061035156,17
36525,Sufficient (Z3),31.691235780715942,11
36525,Sufficient (Greedy),5.234036207199097,20
4684,Direct,0.0009999275207519531,93
4684,Majoritary (Greedy),0.021038055419921875,17
4684,Majoritary (Z3),32.57596206665039,15
4684,Sufficient (Z3),32.69699764251709,6
4684,Sufficient (Greedy),5.579043626785278,20
25462,Direct,0.0010004043579101562,90
25462,Majoritary (Greedy),0.023000478744506836,18
25462,Majoritary (Z3),35.02599883079529,13
25462,Sufficient (Z3),34.102033853530884,5
25462,Sufficient (Greedy),5.345005512237549,20
17690,Direct,0.0010044574737548828,92
17690,Majoritary (Greedy),0.018992185592651367,18
17690,Majoritary (Z3),34.143017530441284,13
17690,Sufficient (Z3),35.09898829460144,7
17690,Sufficient (Greedy),5.355994462966919,20
23823,Direct,0.0010204315185546875,89
23823,Majoritary (Greedy),0.017000198364257812,18
23823,Majoritary (Z3),33.55699872970581,14
23823,Sufficient (Z3),34.23299956321716,6
23823,Sufficient (Greedy),5.497965097427368,20
36131,Direct,0.001039743423461914,78
36131,Majoritary (Greedy),0.019995927810668945,19
36131,Majoritary (Z3),33.84696674346924,14
36131,Sufficient (Z3),34.33905291557312,7
36131,Sufficient (Greedy),5.358981370925903,20
31895,Direct,0.0010380744934082031,75
31895,Majoritary (Greedy),0.017998933792114258,17
31895,Majoritary (Z3),32.11801815032959,17
31895,Sufficient (Z3),34.481980323791504,7
31895,Sufficient (Greedy),5.328001022338867,20
39574,Direct,0.0010008811950683594,109
39574,Majoritary (Greedy),0.02300429344177246,17
39574,Majoritary (Z3),32.14201474189758,18
39574,Sufficient (Z3),35.85599684715271,11
39574,Sufficient (Greedy),5.416980981826782,20
9293,Direct,0.0010209083557128906,98
9293,Majoritary (Greedy),0.01900005340576172,18
9293,Majoritary (Z3),32.386022329330444,18
9293,Sufficient (Z3),33.883222818374634,7
9293,Sufficient (Greedy),5.49800181388855,20
12565,Direct,0.0009634494781494141,99
12565,Majoritary (Greedy),0.018999099731445312,18
12565,Majoritary (Z3),32.20533108711243,16
12565,Sufficient (Z3),33.255008935928345,7
12565,Sufficient (Greedy),4.390937089920044,16
27400,Direct,0.0010025501251220703,92
27400,Majoritary (Greedy),0.0189974308013916,18
27400,Majoritary (Z3),33.73100185394287,13
27400,Sufficient (Z3),33.10517358779907,5
27400,Sufficient (Greedy),4.284999370574951,16
40847,Direct,0.001001596450805664,97
40847,Majoritary (Greedy),0.0169985294342041,18
40847,Majoritary (Z3),31.42605710029602,15
40847,Sufficient (Z3),33.74494385719299,6
40847,Sufficient (Greedy),5.278000593185425,20
36615,Direct,0.0009996891021728516,105
36615,Majoritary (Greedy),0.017999887466430664,19
36615,Majoritary (Z3),32.11899971961975,18
36615,Sufficient (Z3),34.15696668624878,12
36615,Sufficient (Greedy),4.397945404052734,20
21474,Direct,0.0010297298431396484,93
21474,Majoritary (Greedy),0.01801013946533203,17
21474,Majoritary (Z3),32.62596011161804,16
21474,Sufficient (Z3),34.18803954124451,7
21474,Sufficient (Greedy),5.394002437591553,20
40812,Direct,0.0010387897491455078,59
40812,Majoritary (Greedy),0.002996683120727539,0
40812,Majoritary (Z3),31.611963987350464,18
40812,Sufficient (Z3),31.507034063339233,18
40812,Sufficient (Greedy),5.370003700256348,20
10606,Direct,0.0019659996032714844,93
10606,Majoritary (Greedy),0.02303338050842285,18
10606,Majoritary (Z3),35.28701996803284,14
10606,Sufficient (Z3),35.205944538116455,7
10606,Sufficient (Greedy),5.482999563217163,20
