Instance_ID,Method,Time,Size
606,Direct,0.001987934112548828,17
606,Majoritary (Greedy),0.0059778690338134766,10
606,Majoritary (Z3),28.635130167007446,3
606,Sufficient (Z3),26.556196212768555,4
606,Sufficient (Greedy),0.20300579071044922,7
5841,Direct,0.0009636878967285156,17
5841,Majoritary (Greedy),0.007034778594970703,11
5841,Majoritary (Z3),31.10202646255493,3
5841,Sufficient (Z3),27.99460458755493,5
5841,Sufficient (Greedy),0.26598215103149414,7
934,Direct,0.0009996891021728516,14
934,Majoritary (Greedy),0.005999326705932617,9
934,Majoritary (Z3),27.286056518554688,9
934,Sufficient (Z3),27.041001558303833,4
934,Sufficient (Greedy),0.257983922958374,11
2974,Direct,0.00099945068359375,24
2974,Majoritary (Greedy),0.007001161575317383,11
2974,Majoritary (Z3),26.816964149475098,11
2974,Sufficient (Z3),27.152055978775024,4
2974,Sufficient (Greedy),0.27197909355163574,11
1183,Direct,0.0009641647338867188,17
1183,Majoritary (Greedy),0.006997346878051758,11
1183,Majoritary (Z3),27.52303957939148,4
1183,Sufficient (Z3),27.394019603729248,4
1183,Sufficient (Greedy),0.2859480381011963,11
6119,Direct,0.003996133804321289,17
6119,Majoritary (Greedy),0.013002395629882812,9
6119,Majoritary (Z3),27.078047513961792,4
6119,Sufficient (Z3),27.320974588394165,4
6119,Sufficient (Greedy),0.24895787239074707,7
2636,Direct,0.0010395050048828125,15
2636,Majoritary (Greedy),0.0059967041015625,11
2636,Majoritary (Z3),26.636022567749023,4
2636,Sufficient (Z3),27.371997594833374,8
2636,Sufficient (Greedy),0.2669823169708252,7
3480,Direct,0.0010137557983398438,16
3480,Majoritary (Greedy),0.00703120231628418,10
3480,Majoritary (Z3),27.19899845123291,4
3480,Sufficient (Z3),25.887763261795044,5
3480,Sufficient (Greedy),0.23998308181762695,8
3216,Direct,0.000965118408203125,16
3216,Majoritary (Greedy),0.0070362091064453125,9
3216,Majoritary (Z3),27.141019821166992,4
3216,Sufficient (Z3),27.297284603118896,5
3216,Sufficient (Greedy),0.2529473304748535,11
5241,Direct,0.00104522705078125,16
5241,Majoritary (Greedy),0.005965471267700195,10
5241,Majoritary (Z3),26.89903497695923,4
5241,Sufficient (Z3),27.57119393348694,4
5241,Sufficient (Greedy),0.24900174140930176,11
2798,Direct,0.0009644031524658203,24
2798,Majoritary (Greedy),0.006035566329956055,10
2798,Majoritary (Z3),27.358999729156494,11
2798,Sufficient (Z3),27.052966833114624,8
2798,Sufficient (Greedy),0.26903605461120605,11
4806,Direct,0.0009613037109375,24
4806,Majoritary (Greedy),0.0059986114501953125,10
4806,Majoritary (Z3),26.923057794570923,11
4806,Sufficient (Z3),26.82397961616516,8
4806,Sufficient (Greedy),0.24100136756896973,11
2380,Direct,0.0009655952453613281,15
2380,Majoritary (Greedy),0.009035587310791016,8
2380,Majoritary (Z3),27.73096227645874,4
2380,Sufficient (Z3),26.506056547164917,3
2380,Sufficient (Greedy),0.24994325637817383,9
1403,Direct,0.0009636878967285156,25
1403,Majoritary (Greedy),0.006999015808105469,10
1403,Majoritary (Z3),27.840248584747314,5
1403,Sufficient (Z3),27.482036590576172,6
1403,Sufficient (Greedy),0.25896120071411133,11
67,Direct,0.0010476112365722656,16
67,Majoritary (Greedy),0.006998300552368164,11
67,Majoritary (Z3),26.85002040863037,10
67,Sufficient (Z3),27.26400089263916,5
67,Sufficient (Greedy),0.27798008918762207,11
2336,Direct,0.001999378204345703,16
2336,Majoritary (Greedy),0.0069637298583984375,10
2336,Majoritary (Z3),28.625035047531128,4
2336,Sufficient (Z3),26.766021490097046,4
2336,Sufficient (Greedy),0.26398611068725586,11
5770,Direct,0.0010020732879638672,31
5770,Majoritary (Greedy),0.005999326705932617,11
5770,Majoritary (Z3),26.507020235061646,10
5770,Sufficient (Z3),27.881978511810303,4
5770,Sufficient (Greedy),0.24500036239624023,11
4195,Direct,0.0009658336639404297,21
4195,Majoritary (Greedy),0.007997751235961914,11
4195,Majoritary (Z3),27.53503680229187,8
4195,Sufficient (Z3),27.552003860473633,7
4195,Sufficient (Greedy),0.26496243476867676,11
2017,Direct,0.0009992122650146484,18
2017,Majoritary (Greedy),0.006041526794433594,11
2017,Majoritary (Z3),26.536986351013184,10
2017,Sufficient (Z3),26.678027391433716,6
2017,Sufficient (Greedy),0.2359790802001953,9
3960,Direct,0.0010023117065429688,22
3960,Majoritary (Greedy),0.005997896194458008,11
3960,Majoritary (Z3),26.268965244293213,8
3960,Sufficient (Z3),26.783034086227417,6
3960,Sufficient (Greedy),0.28400278091430664,11
3744,Direct,0.0009968280792236328,16
3744,Majoritary (Greedy),0.008997917175292969,10
3744,Majoritary (Z3),27.636020183563232,4
3744,Sufficient (Z3),26.972001314163208,4
3744,Sufficient (Greedy),0.2539827823638916,9
905,Direct,0.0010037422180175781,16
905,Majoritary (Greedy),0.0069963932037353516,9
905,Majoritary (Z3),26.89996314048767,11
905,Sufficient (Z3),27.54305601119995,5
905,Sufficient (Greedy),0.25194263458251953,8
2458,Direct,0.0009996891021728516,14
2458,Majoritary (Greedy),0.006038188934326172,10
2458,Majoritary (Z3),27.097961902618408,8
2458,Sufficient (Z3),26.53226137161255,6
2458,Sufficient (Greedy),0.25897955894470215,11
699,Direct,0.001035928726196289,18
699,Majoritary (Greedy),0.007963895797729492,11
699,Majoritary (Z3),27.411038160324097,4
699,Sufficient (Z3),28.215017557144165,5
