Instance_ID,Method,Time,Size
2,Direct,0.0010094642639160156,57
2,Majoritary (Greedy),0.004998922348022461,11
2,Majoritary (Z3),0.8060014247894287,11
2,Sufficient (Z3),1.1060001850128174,4
2,Sufficient (Greedy),0.31603455543518066,12
10,Direct,0.0009646415710449219,55
10,Majoritary (Greedy),0.006000518798828125,10
10,Majoritary (Z3),0.8450524806976318,12
10,Sufficient (Z3),1.0259463787078857,3
10,Sufficient (Greedy),0.3360004425048828,12
15,Direct,0.0,56
15,Majoritary (Greedy),0.006012439727783203,11
15,Majoritary (Z3),0.8679981231689453,10
15,Sufficient (Z3),1.0530345439910889,3
15,Sufficient (Greedy),0.3489656448364258,13
28,Direct,0.0009996891021728516,72
28,Majoritary (Greedy),0.007037162780761719,10
28,Majoritary (Z3),0.8569662570953369,10
28,Sufficient (Z3),1.0199971199035645,7
28,Sufficient (Greedy),0.31003475189208984,13
48,Direct,0.0010013580322265625,57
48,Majoritary (Greedy),0.006964206695556641,9
48,Majoritary (Z3),0.7810001373291016,10
48,Sufficient (Z3),0.9520540237426758,3
48,Sufficient (Greedy),0.324979305267334,11
62,Direct,0.0,56
62,Majoritary (Greedy),0.006027936935424805,11
62,Majoritary (Z3),0.8670022487640381,10
62,Sufficient (Z3),1.0070135593414307,4
62,Sufficient (Greedy),0.3169853687286377,13
66,Direct,0.0009632110595703125,56
66,Majoritary (Greedy),0.008038520812988281,9
66,Majoritary (Z3),0.9090099334716797,9
66,Sufficient (Z3),0.9209868907928467,4
66,Sufficient (Greedy),0.28400373458862305,13
77,Direct,0.0009961128234863281,73
77,Majoritary (Greedy),0.0059664249420166016,13
77,Majoritary (Z3),0.8730001449584961,11
77,Sufficient (Z3),1.0260519981384277,7
77,Sufficient (Greedy),0.30498218536376953,13
88,Direct,0.0009677410125732422,55
88,Majoritary (Greedy),0.007032632827758789,10
88,Majoritary (Z3),0.8260002136230469,10
88,Sufficient (Z3),0.8879363536834717,3
88,Sufficient (Greedy),0.3170351982116699,13
90,Direct,0.0,68
90,Majoritary (Greedy),0.007045269012451172,13
90,Majoritary (Z3),0.8690073490142822,10
90,Sufficient (Z3),1.0189933776855469,7
90,Sufficient (Greedy),0.28896403312683105,9
111,Direct,0.0010004043579101562,71
111,Majoritary (Greedy),0.006039142608642578,12
111,Majoritary (Z3),0.9019613265991211,12
111,Sufficient (Z3),1.1270828247070312,5
111,Sufficient (Greedy),0.285966157913208,9
113,Direct,0.0009996891021728516,49
113,Majoritary (Greedy),0.005998134613037109,9
113,Majoritary (Z3),0.8600022792816162,9
113,Sufficient (Z3),0.9149975776672363,4
113,Sufficient (Greedy),0.30878639221191406,13
123,Direct,0.0,57
123,Majoritary (Greedy),0.00603485107421875,10
123,Majoritary (Z3),0.76096510887146,10
123,Sufficient (Z3),1.0669982433319092,3
123,Sufficient (Greedy),0.3390645980834961,13
124,Direct,0.0009660720825195312,58
124,Majoritary (Greedy),0.006033897399902344,9
124,Majoritary (Z3),0.9259657859802246,10
124,Sufficient (Z3),0.9630367755889893,3
124,Sufficient (Greedy),0.2915077209472656,13
126,Direct,0.0,58
126,Majoritary (Greedy),0.005998134613037109,11
126,Majoritary (Z3),0.8200573921203613,9
126,Sufficient (Z3),1.0570015907287598,3
126,Sufficient (Greedy),0.2899789810180664,13
144,Direct,0.0,58
144,Majoritary (Greedy),0.005999326705932617,12
144,Majoritary (Z3),0.8210375308990479,8
144,Sufficient (Z3),1.0399980545043945,6
144,Sufficient (Greedy),0.28296899795532227,11
155,Direct,0.0010483264923095703,59
155,Majoritary (Greedy),0.0059986114501953125,13
155,Majoritary (Z3),0.7559611797332764,12
155,Sufficient (Z3),0.9560034275054932,8
155,Sufficient (Greedy),0.29604125022888184,10
160,Direct,0.0010476112365722656,52
160,Majoritary (Greedy),0.005999326705932617,10
160,Majoritary (Z3),0.7790188789367676,10
160,Sufficient (Z3),1.000946283340454,6
160,Sufficient (Greedy),0.29203367233276367,13
187,Direct,0.0,51
187,Majoritary (Greedy),0.005986928939819336,10
187,Majoritary (Z3),0.7879998683929443,9
187,Sufficient (Z3),0.9680173397064209,5
187,Sufficient (Greedy),0.354947566986084,13
191,Direct,0.0010004043579101562,62
191,Majoritary (Greedy),0.007001161575317383,10
191,Majoritary (Z3),0.7960519790649414,11
191,Sufficient (Z3),1.0639986991882324,3
191,Sufficient (Greedy),0.30594730377197266,13
205,Direct,0.0010502338409423828,62
205,Majoritary (Greedy),0.006986379623413086,11
205,Majoritary (Z3),0.8190188407897949,12
205,Sufficient (Z3),1.036994457244873,3
205,Sufficient (Greedy),0.3259866237640381,11
208,Direct,0.0010008811950683594,55
208,Majoritary (Greedy),0.005998849868774414,13
208,Majoritary (Z3),0.8219997882843018,12
208,Sufficient (Z3),0.9639780521392822,5
208,Sufficient (Greedy),0.2629849910736084,10
