Instance_ID,Method,Time,Size
16640,Direct,0.0010323524475097656,46
16640,Majoritary (Greedy),0.012966156005859375,11
16640,Majoritary (Z3),51.84303307533264,7
16640,Sufficient (Z3),52.689016819000244,5
16640,Sufficient (Greedy),0.6559829711914062,11
1928,Direct,0.0010638236999511719,49
1928,Majoritary (Greedy),0.014947891235351562,11
1928,Majoritary (Z3),51.35840678215027,9
1928,Sufficient (Z3),51.15735459327698,5
1928,Sufficient (Greedy),0.5789637565612793,11
2363,Direct,0.002000093460083008,54
2363,Majoritary (Greedy),0.013034582138061523,11
2363,Majoritary (Z3),50.56996440887451,8
2363,Sufficient (Z3),50.941001892089844,5
2363,Sufficient (Greedy),0.619035005569458,11
21177,Direct,0.0020029544830322266,52
21177,Majoritary (Greedy),0.01799798011779785,11
21177,Majoritary (Z3),50.904205322265625,9
21177,Sufficient (Z3),57.292996644973755,4
21177,Sufficient (Greedy),0.6639828681945801,11
24246,Direct,0.0019996166229248047,52
24246,Majoritary (Greedy),0.013997316360473633,11
24246,Majoritary (Z3),50.09976053237915,11
24246,Sufficient (Z3),48.91997981071472,10
24246,Sufficient (Greedy),0.5819680690765381,11
19386,Direct,0.001996278762817383,58
19386,Majoritary (Greedy),0.015000104904174805,11
19386,Majoritary (Z3),51.275999307632446,8
19386,Sufficient (Z3),64.05200028419495,4
19386,Sufficient (Greedy),0.5560019016265869,11
22361,Direct,0.0019981861114501953,49
22361,Majoritary (Greedy),0.013003110885620117,11
22361,Majoritary (Z3),51.799039125442505,9
22361,Sufficient (Z3),50.269020795822144,7
22361,Sufficient (Greedy),0.5996737480163574,11
4847,Direct,0.001047372817993164,49
4847,Majoritary (Greedy),0.013963460922241211,11
4847,Majoritary (Z3),52.117055892944336,6
4847,Sufficient (Z3),51.32119822502136,5
4847,Sufficient (Greedy),0.6539633274078369,11
7834,Direct,0.000997781753540039,53
7834,Majoritary (Greedy),0.014000654220581055,11
7834,Majoritary (Z3),50.619038581848145,9
7834,Sufficient (Z3),64.14645791053772,4
7834,Sufficient (Greedy),0.5539534091949463,11
20748,Direct,0.0010442733764648438,43
20748,Majoritary (Greedy),0.013000011444091797,11
20748,Majoritary (Z3),52.246020793914795,9
20748,Sufficient (Z3),55.16500115394592,6
20748,Sufficient (Greedy),0.5879695415496826,11
17372,Direct,0.0009722709655761719,51
17372,Majoritary (Greedy),0.015037298202514648,11
17372,Majoritary (Z3),52.855021476745605,10
17372,Sufficient (Z3),65.06399822235107,4
17372,Sufficient (Greedy),0.6069812774658203,11
17287,Direct,0.0019989013671875,47
17287,Majoritary (Greedy),0.01299905776977539,11
17287,Majoritary (Z3),52.169374227523804,7
17287,Sufficient (Z3),53.81621861457825,5
17287,Sufficient (Greedy),0.7860028743743896,11
1649,Direct,0.0010488033294677734,56
1649,Majoritary (Greedy),0.0149993896484375,11
1649,Majoritary (Z3),47.78202247619629,8
1649,Sufficient (Z3),63.525938987731934,4
1649,Sufficient (Greedy),0.615037202835083,11
397,Direct,0.0009980201721191406,50
397,Majoritary (Greedy),0.017004966735839844,11
397,Majoritary (Z3),49.42096185684204,8
397,Sufficient (Z3),49.09099841117859,5
397,Sufficient (Greedy),0.5900003910064697,11
442,Direct,0.0010466575622558594,51
442,Majoritary (Greedy),0.013998270034790039,11
442,Majoritary (Z3),50.20199942588806,9
442,Sufficient (Z3),50.912965297698975,6
442,Sufficient (Greedy),0.6030783653259277,11
1726,Direct,0.001035928726196289,52
1726,Majoritary (Greedy),0.01296544075012207,11
1726,Majoritary (Z3),51.370312213897705,8
1726,Sufficient (Z3),51.0580370426178,5
1726,Sufficient (Greedy),0.6879651546478271,11
16014,Direct,0.002963542938232422,46
16014,Majoritary (Greedy),0.02203536033630371,11
16014,Majoritary (Z3),54.46001982688904,8
16014,Sufficient (Z3),51.216979026794434,6
16014,Sufficient (Greedy),0.595001220703125,11
17478,Direct,0.0010104179382324219,51
17478,Majoritary (Greedy),0.013033628463745117,11
17478,Majoritary (Z3),48.876965284347534,8
17478,Sufficient (Z3),51.03299951553345,5
17478,Sufficient (Greedy),0.608999490737915,11
14634,Direct,0.0010001659393310547,52
14634,Majoritary (Greedy),0.015998363494873047,11
14634,Majoritary (Z3),52.231006383895874,6
14634,Sufficient (Z3),51.57003092765808,5
14634,Sufficient (Greedy),0.560999870300293,11
11159,Direct,0.001964092254638672,48
11159,Majoritary (Greedy),0.012999296188354492,11
11159,Majoritary (Z3),48.80003762245178,8
11159,Sufficient (Z3),49.18796443939209,5
11159,Sufficient (Greedy),0.5950465202331543,11
20662,Direct,0.000997304916381836,53
20662,Majoritary (Greedy),0.013998746871948242,11
20662,Majoritary (Z3),50.1919641494751,8
20662,Sufficient (Z3),53.91800284385681,5
20662,Sufficient (Greedy),0.6060483455657959,11
3938,Direct,0.0009875297546386719,47
